Rank,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6912,NBA 11617,DS,1984,Strategy,Konami,0.82,0.47,0.01,0.14,1.44
6913,Spyro 15444,X360,2016,Puzzle,Namco Bandai,0.04,0.33,0.87,0.2,1.44
6914,Star Fox 1692,PC,1994,Strategy,505 Games,0.58,0.41,0.08,0.37,1.44
6915,Dragon Quest 14380,DC,2006,Strategy,Atari,1.14,0.04,0.1,0.16,1.44
6916,Castlevania 345,X360,2010,Role-Playing,Atari,0.53,0.86,0.02,0.03,1.44
6917,Crash Bandicoot 14193,PS4,1998,Adventure,Capcom,1.06,0.15,0.11,0.12,1.44
6918,Dead or Alive 4833,PS3,2010,Action,Activision,0.21,0.96,0.07,0.2,1.44
6919,Tomb Raider 4421,PS4,1983,Puzzle,2K Games,0.11,0.56,0.7,0.07,1.44
6920,Mega Man 13300,XOne,1996,Misc,Bethesda,0.04,1.0,0.32,0.08,1.44
6921,Metal Gear Solid 10728,NES,2005,Sports,Konami,0.76,0.15,0.33,0.2,1.44
6922,Street Fighter 15049,PSP,1987,Fighting,Capcom,0.25,0.08,1.08,0.03,1.44
6923,Crash Bandicoot 4182,N64,1988,Platform,Atari,0.95,0.16,0.21,0.12,1.44
6924,Tiger Woods PGA Tour 11556,WiiU,1993,Sports,Take-Two Interactive,0.01,0.55,0.53,0.35,1.44
6925,Donkey Kong 4364,DC,1991,Misc,Bandai,0.73,0.26,0.21,0.24,1.44
6926,Final Fantasy 8607,XB,1980,Racing,Sony Computer Entertainment,0.16,0.36,0.18,0.74,1.44
6927,Metal Gear Solid 10240,X360,2014,Adventure,Electronic Arts,0.53,0.21,0.52,0.18,1.44
6928,NCAA Football 13547,PS,2013,Puzzle,Deep Silver,0.26,1.06,0.02,0.1,1.44
6929,Crash Bandicoot 9310,PS4,1996,Sports,Take-Two Interactive,0.21,0.2,0.62,0.41,1.44
6930,NBA 12604,WiiU,1984,Fighting,Sega,0.58,0.37,0.42,0.07,1.44
6931,NBA 8053,DC,1995,Sports,Bandai,0.03,0.82,0.51,0.08,1.44
6932,Tiger Woods PGA Tour 12541,NES,1988,Role-Playing,Microsoft Game Studios,0.64,0.44,0.01,0.35,1.44
6933,Tekken 149,N64,1993,Role-Playing,Ubisoft,0.15,0.56,0.61,0.12,1.44
6934,Metroid 13811,PS3,1983,Fighting,Atari,0.36,0.95,0.01,0.12,1.44
6935,Spyro 15666,PS2,2006,Simulation,Namco Bandai,0.23,0.65,0.14,0.42,1.44
6936,Final Fantasy 15334,PSP,1999,Action,Konami,0.12,0.31,0.92,0.09,1.44
6937,NBA 2534,PS2,2010,Strategy,Ubisoft,0.14,0.23,0.82,0.25,1.44
6938,Kirby 6686,GBA,1983,Simulation,Deep Silver,0.02,0.35,1.04,0.03,1.44
6939,Sonic the Hedgehog 4071,N64,2000,Role-Playing,THQ,0.58,0.31,0.1,0.45,1.44
6940,Metal Gear Solid 5185,PSP,1993,Puzzle,Bethesda,1.34,0.01,0.0,0.09,1.44
6941,Metal Gear Solid 11276,DS,1993,Role-Playing,2K Games,0.79,0.38,0.21,0.06,1.44
6942,Final Fantasy 10269,GBA,2001,Misc,Ubisoft,0.12,0.62,0.48,0.22,1.44
6943,Mega Man 1848,3DS,1997,Fighting,505 Games,0.9,0.41,0.05,0.08,1.44
6944,Final Fantasy 13449,X360,1986,Strategy,Namco Bandai,0.55,0.53,0.13,0.23,1.44
6945,Crash Bandicoot 11627,N64,1982,Strategy,2K Games,0.02,0.04,0.35,1.03,1.44
6946,Mortal Kombat 12202,PS,1996,Adventure,Ubisoft,0.3,0.25,0.87,0.02,1.44
6947,Kirby 11412,3DS,1998,Sports,Deep Silver,0.92,0.27,0.07,0.18,1.44
6948,Street Fighter 2390,PS,1999,Racing,Electronic Arts,0.54,0.11,0.59,0.19,1.43
6949,Sonic the Hedgehog 14955,SNES,1994,Platform,505 Games,0.42,0.53,0.44,0.04,1.43
6950,Crash Bandicoot 6676,N64,1993,Racing,505 Games,0.58,0.24,0.52,0.09,1.43
6951,Metroid 9766,PSP,1980,Puzzle,Konami,0.58,0.44,0.14,0.27,1.43
6952,Tekken 13157,PS4,1980,Sports,Take-Two Interactive,0.69,0.23,0.45,0.06,1.43
6953,Metal Gear Solid 10446,PS4,1984,Puzzle,Ubisoft,0.66,0.4,0.21,0.16,1.43
6954,Metal Gear Solid 15763,Wii,1982,Shooter,Capcom,0.12,0.49,0.8,0.02,1.43
6955,Castlevania 4753,PSP,2006,Action,LucasArts,0.95,0.11,0.18,0.19,1.43
6956,F-Zero 14791,N64,1997,Adventure,505 Games,0.75,0.25,0.36,0.07,1.43
6957,Spyro 12322,GBA,1983,Misc,Electronic Arts,0.05,0.88,0.41,0.09,1.43
6958,NCAA Football 9824,XB,2001,Action,Sega,0.13,0.29,0.88,0.13,1.43
6959,Donkey Kong 11200,PC,1994,Strategy,Sony Computer Entertainment,0.31,0.08,0.86,0.18,1.43
6960,Star Fox 10822,XOne,2002,Racing,2K Games,0.71,0.26,0.29,0.17,1.43
6961,Kirby 1740,PS4,1986,Role-Playing,Activision,0.5,0.37,0.54,0.02,1.43
6962,NCAA Football 12621,SNES,2010,Role-Playing,Capcom,0.4,0.18,0.69,0.16,1.43
6963,Dead or Alive 7831,GC,2011,Platform,Deep Silver,0.7,0.32,0.28,0.13,1.43
6964,Mega Man 15905,PS2,1982,Sports,Sony Computer Entertainment,0.16,0.61,0.43,0.23,1.43
6965,Street Fighter 2026,SAT,1998,Shooter,Microsoft Game Studios,1.14,0.08,0.15,0.06,1.43
6966,Tomb Raider 545,GC,2006,Shooter,Deep Silver,0.31,0.07,0.75,0.3,1.43
6967,Tiger Woods PGA Tour 15084,PS2,1992,Strategy,THQ,0.77,0.21,0.4,0.05,1.43
6968,Tiger Woods PGA Tour 1377,WiiU,2002,Puzzle,Capcom,0.1,0.52,0.73,0.08,1.43
6969,Dead or Alive 11703,XOne,1987,Strategy,Take-Two Interactive,0.1,0.04,1.05,0.24,1.43
6970,Star Fox 4964,NES,1999,Strategy,Microsoft Game Studios,0.79,0.15,0.41,0.08,1.43
6971,Metroid 1315,PS4,2003,Racing,Konami,0.44,0.13,0.62,0.24,1.43
6972,Madden NFL 9010,X360,2009,Action,THQ,0.71,0.46,0.21,0.05,1.43
6973,Spyro 15225,NES,1990,Sports,Nintendo,0.46,0.26,0.08,0.63,1.43
6974,Pro Evolution Soccer 12011,DC,2002,Platform,505 Games,0.55,0.79,0.05,0.04,1.43
6975,Tomb Raider 13378,DS,1996,Misc,Bandai,0.72,0.47,0.12,0.12,1.43
6976,Crash Bandicoot 3359,XOne,2005,Strategy,LucasArts,0.43,0.18,0.04,0.78,1.43
6977,Kirby 14409,NES,2003,Platform,Capcom,0.21,0.47,0.38,0.37,1.43
6978,Tomb Raider 7052,PS2,2000,Strategy,Activision,0.76,0.19,0.19,0.29,1.43
6979,Metal Gear Solid 14019,GC,2004,Role-Playing,LucasArts,0.46,0.02,0.9,0.05,1.43
6980,Final Fantasy 781,XOne,1987,Sports,2K Games,1.11,0.12,0.1,0.1,1.43
6981,Final Fantasy 8349,GC,2010,Misc,Deep Silver,0.13,1.09,0.01,0.2,1.43
6982,Sonic the Hedgehog 6925,PS4,2013,Role-Playing,Sega,0.39,1.0,0.02,0.02,1.43
6983,NBA 12624,DC,2005,Sports,Nintendo,0.18,0.95,0.25,0.05,1.43
6984,Tiger Woods PGA Tour 8348,XOne,2014,Racing,THQ,0.56,0.78,0.08,0.01,1.43
6985,F-Zero 4308,GBA,1989,Platform,Take-Two Interactive,0.28,0.45,0.7,0.0,1.43
6986,F-Zero 4585,WiiU,2008,Adventure,Konami,0.27,1.07,0.02,0.07,1.43
6987,NCAA Football 14949,PS2,1996,Fighting,THQ,1.04,0.17,0.12,0.1,1.43
6988,Sonic the Hedgehog 6463,SNES,2001,Racing,Bandai,0.97,0.22,0.03,0.21,1.43
6989,Mega Man 15192,PS4,1999,Sports,Atari,0.84,0.3,0.2,0.09,1.43
6990,Final Fantasy 4065,WiiU,2003,Puzzle,Konami,0.8,0.08,0.49,0.06,1.43
6991,Metal Gear Solid 13895,PS3,2014,Simulation,505 Games,0.74,0.5,0.04,0.15,1.43
6992,Metal Gear Solid 368,PS2,2000,Shooter,Deep Silver,0.84,0.05,0.07,0.47,1.43
6993,Dead or Alive 65,PS3,2007,Action,Ubisoft,0.08,0.78,0.38,0.19,1.43
6994,Metal Gear Solid 14123,WiiU,2014,Adventure,Sony Computer Entertainment,0.78,0.43,0.12,0.1,1.43
6995,Metroid 12421,XB,1983,Platform,Microsoft Game Studios,0.22,0.67,0.25,0.29,1.43
6996,Silent Hill 620,X360,2013,Puzzle,Sony Computer Entertainment,0.44,0.09,0.9,0.0,1.43
6997,Dead or Alive 2533,PS,1987,Strategy,Nintendo,0.42,0.81,0.18,0.02,1.43
6998,Tekken 9877,GBA,1985,Racing,Microsoft Game Studios,1.06,0.03,0.22,0.12,1.43
6999,Street Fighter 1485,GC,2003,Puzzle,LucasArts,0.16,0.7,0.32,0.25,1.43
7000,Metal Gear Solid 4058,NES,2006,Puzzle,Bethesda,0.93,0.28,0.17,0.05,1.43
7001,NBA 12383,Wii,2012,Strategy,Atari,0.15,0.43,0.84,0.01,1.43
7002,Tiger Woods PGA Tour 6687,GBA,1996,Puzzle,Microsoft Game Studios,0.32,0.83,0.1,0.18,1.43
7003,Dead or Alive 12935,Wii,1990,Role-Playing,Nintendo,0.76,0.44,0.05,0.18,1.43
7004,Kirby 3640,NES,1999,Racing,Deep Silver,0.18,0.3,0.73,0.22,1.43
7005,NCAA Football 6701,PS2,2010,Misc,Bethesda,0.84,0.17,0.35,0.07,1.43
7006,Kirby 1128,NES,2001,Fighting,Deep Silver,0.95,0.39,0.03,0.06,1.43
7007,Dead or Alive 13026,WiiU,1990,Sports,LucasArts,0.06,0.3,1.03,0.04,1.43
7008,Sonic the Hedgehog 9368,3DS,2014,Racing,Take-Two Interactive,0.44,0.26,0.15,0.58,1.43
7009,Castlevania 9284,PS3,1991,Action,Microsoft Game Studios,0.34,0.13,0.95,0.01,1.43
7010,Kirby 15497,SNES,2009,Sports,Namco Bandai,0.31,0.44,0.51,0.17,1.43
7011,Donkey Kong 9258,PS2,1993,Misc,Konami,0.57,0.6,0.2,0.06,1.43
7012,Metroid 6145,PS2,1980,Misc,Ubisoft,0.98,0.37,0.04,0.04,1.43
7013,Crash Bandicoot 12507,DC,1999,Misc,Sega,0.03,1.32,0.08,0.0,1.43
7014,Tiger Woods PGA Tour 4903,3DS,1983,Role-Playing,Konami,0.4,0.22,0.01,0.8,1.43
7015,Mega Man 425,PS2,1995,Misc,Konami,0.2,0.48,0.59,0.16,1.43
7016,Pro Evolution Soccer 15316,GBA,1988,Puzzle,Take-Two Interactive,0.25,0.0,0.39,0.79,1.43
7017,Kirby 10781,PSP,2014,Adventure,LucasArts,0.91,0.42,0.05,0.05,1.43
7018,Dead or Alive 3508,PS2,2003,Fighting,Atari,0.32,1.04,0.04,0.03,1.43
7019,Crash Bandicoot 13856,PS3,2004,Role-Playing,Sega,0.09,1.22,0.06,0.06,1.43
7020,F-Zero 14270,GBA,2005,Role-Playing,Bethesda,1.22,0.06,0.14,0.01,1.43
7021,Crash Bandicoot 9464,NES,1999,Fighting,505 Games,0.5,0.4,0.26,0.27,1.43
7022,Metal Gear Solid 13684,WiiU,2009,Sports,505 Games,0.96,0.04,0.04,0.39,1.43
7023,Donkey Kong 11536,X360,2012,Shooter,Capcom,0.16,0.16,0.56,0.55,1.43
7024,Sonic the Hedgehog 11548,DC,2006,Puzzle,Sega,0.24,0.71,0.09,0.39,1.43
7025,Tiger Woods PGA Tour 7747,SAT,1991,Shooter,THQ,0.18,0.41,0.6,0.24,1.43
7026,Star Fox 6347,NES,1985,Adventure,Activision,0.87,0.13,0.19,0.24,1.43
7027,Final Fantasy 5842,DS,2004,Simulation,Bethesda,0.61,0.48,0.25,0.09,1.43
7028,Donkey Kong 12499,DS,1999,Simulation,Ubisoft,1.15,0.16,0.08,0.04,1.43
7029,Spyro 14904,GC,2000,Platform,Nintendo,0.79,0.24,0.29,0.11,1.43
7030,Pro Evolution Soccer 8596,PC,2014,Adventure,Square Enix,0.02,0.52,0.28,0.61,1.43
7031,Tiger Woods PGA Tour 10150,PS2,1996,Racing,LucasArts,0.76,0.59,0.05,0.03,1.43
7032,Metal Gear Solid 4266,Wii,1987,Puzzle,Square Enix,1.14,0.07,0.02,0.2,1.43
7033,Madden NFL 5081,PS4,1982,Puzzle,Electronic Arts,1.3,0.06,0.04,0.03,1.43
7034,Metroid 10744,PS,1981,Misc,Ubisoft,0.71,0.39,0.02,0.31,1.43
7035,Metal Gear Solid 14433,DS,2005,Strategy,Sony Computer Entertainment,0.51,0.48,0.4,0.04,1.43
7036,Tekken 8168,PS,1993,Shooter,Activision,0.66,0.26,0.26,0.25,1.43
7037,Final Fantasy 2481,X360,2011,Adventure,Capcom,0.27,0.26,0.7,0.2,1.43
7038,NBA 12135,PS,1996,Misc,Konami,0.32,0.03,0.7,0.38,1.43
7039,Madden NFL 2459,DC,2006,Platform,THQ,0.94,0.45,0.0,0.03,1.42
7040,Final Fantasy 14298,NES,1981,Shooter,Sony Computer Entertainment,0.14,0.27,0.59,0.42,1.42
7041,NBA 8127,DC,2011,Sports,505 Games,0.86,0.31,0.03,0.22,1.42
7042,Spyro 5715,DC,1996,Shooter,Sony Computer Entertainment,0.39,0.38,0.63,0.02,1.42
7043,Metal Gear Solid 10103,SNES,1981,Misc,Ubisoft,0.6,0.51,0.21,0.1,1.42
7044,F-Zero 8652,N64,2012,Fighting,Electronic Arts,0.06,0.88,0.47,0.01,1.42
7045,Spyro 8649,Wii,2008,Fighting,Konami,0.64,0.41,0.25,0.12,1.42
7046,Castlevania 2729,DS,2004,Action,Activision,0.17,0.55,0.58,0.12,1.42
7047,Kirby 11193,3DS,2015,Fighting,Deep Silver,0.08,1.06,0.05,0.23,1.42
7048,Pro Evolution Soccer 7863,GC,2012,Sports,Nintendo,0.37,0.45,0.6,0.0,1.42
7049,Madden NFL 2956,GC,2014,Sports,Ubisoft,0.36,0.68,0.36,0.02,1.42
7050,Star Fox 7960,SAT,1999,Puzzle,Capcom,0.72,0.54,0.07,0.09,1.42
7051,Kirby 3247,N64,1987,Racing,Bandai,0.17,0.77,0.15,0.33,1.42
7052,Silent Hill 7111,3DS,2007,Fighting,Bandai,0.02,1.33,0.01,0.06,1.42
7053,Final Fantasy 3832,N64,2016,Adventure,505 Games,1.2,0.04,0.13,0.05,1.42
7054,Tiger Woods PGA Tour 3539,PSP,1986,Simulation,Sony Computer Entertainment,1.02,0.02,0.35,0.03,1.42
7055,Kirby 8724,DS,1989,Strategy,Sega,0.16,0.1,1.14,0.02,1.42
7056,Crash Bandicoot 2597,N64,2003,Simulation,Sega,1.02,0.04,0.27,0.09,1.42
7057,Dragon Quest 15626,XOne,2009,Simulation,Take-Two Interactive,1.17,0.12,0.07,0.06,1.42
7058,F-Zero 4169,3DS,1995,Role-Playing,LucasArts,0.73,0.14,0.53,0.02,1.42
7059,Metroid 7637,XOne,1984,Action,Ubisoft,0.78,0.39,0.19,0.06,1.42
7060,Madden NFL 6310,WiiU,2002,Simulation,Bandai,0.43,0.12,0.46,0.41,1.42
7061,Metal Gear Solid 6326,3DS,2000,Fighting,Capcom,0.89,0.33,0.19,0.01,1.42
7062,Tekken 12734,N64,2009,Simulation,Atari,0.91,0.18,0.32,0.01,1.42
7063,Star Fox 300,XOne,2000,Puzzle,Activision,0.67,0.1,0.62,0.03,1.42
7064,F-Zero 12360,PC,1997,Shooter,Deep Silver,1.12,0.2,0.05,0.05,1.42
7065,Tekken 12660,PS4,2005,Role-Playing,LucasArts,0.12,1.1,0.11,0.09,1.42
7066,Kirby 10388,NES,2016,Puzzle,Namco Bandai,0.83,0.35,0.23,0.01,1.42
7067,Kirby 1882,WiiU,1983,Action,Square Enix,0.87,0.41,0.04,0.1,1.42
7068,Star Fox 3631,XB,1983,Action,Ubisoft,0.59,0.56,0.21,0.06,1.42
7069,Mortal Kombat 264,3DS,2015,Action,505 Games,0.3,0.4,0.54,0.18,1.42
7070,NCAA Football 7297,NES,2013,Sports,Capcom,0.3,0.08,0.79,0.25,1.42
7071,F-Zero 5550,SNES,2004,Action,505 Games,1.11,0.08,0.22,0.01,1.42
7072,Metroid 4774,XB,1993,Platform,505 Games,0.05,0.16,1.15,0.06,1.42
7073,NBA 8789,SAT,2013,Racing,Take-Two Interactive,0.68,0.29,0.44,0.01,1.42
7074,Metroid 4720,SAT,2011,Simulation,Sega,0.76,0.38,0.15,0.13,1.42
7075,Metal Gear Solid 5296,PS3,1995,Racing,Square Enix,0.32,0.07,0.86,0.17,1.42
7076,Pro Evolution Soccer 1628,Wii,1987,Misc,Electronic Arts,0.19,0.73,0.08,0.42,1.42
7077,Pro Evolution Soccer 13711,DS,2013,Fighting,Atari,0.19,0.81,0.4,0.02,1.42
7078,Street Fighter 10289,N64,1998,Fighting,THQ,0.81,0.16,0.33,0.12,1.42
7079,Dragon Quest 12773,PSP,1986,Adventure,Ubisoft,0.77,0.21,0.12,0.32,1.42
7080,Spyro 12952,PS3,1980,Sports,2K Games,0.56,0.04,0.77,0.05,1.42
7081,Pro Evolution Soccer 2640,3DS,2006,Fighting,LucasArts,1.13,0.06,0.08,0.15,1.42
7082,Metroid 8939,PS,1993,Shooter,Take-Two Interactive,0.77,0.16,0.43,0.06,1.42
7083,Madden NFL 5679,GBA,2016,Simulation,Ubisoft,0.25,0.44,0.1,0.63,1.42
7084,Metroid 1829,PS,1991,Racing,505 Games,0.2,1.03,0.06,0.13,1.42
7085,Donkey Kong 3581,GC,1998,Misc,Konami,0.67,0.36,0.3,0.09,1.42
7086,Kirby 15435,X360,1983,Misc,Capcom,0.05,0.95,0.34,0.08,1.42
7087,Tomb Raider 14956,GBA,2004,Fighting,Ubisoft,0.48,0.51,0.33,0.1,1.42
7088,Mortal Kombat 12027,PS3,1980,Strategy,Microsoft Game Studios,0.47,0.42,0.49,0.04,1.42
7089,Star Fox 12274,DC,1990,Racing,Electronic Arts,0.51,0.04,0.4,0.47,1.42
7090,Kirby 2433,PC,2005,Role-Playing,Ubisoft,0.05,1.15,0.11,0.11,1.42
7091,Tiger Woods PGA Tour 6434,GC,2010,Misc,Bandai,0.02,0.41,0.55,0.44,1.42
7092,Dead or Alive 11245,PS,2005,Fighting,Sega,0.72,0.67,0.03,0.0,1.42
7093,Sonic the Hedgehog 1611,XB,1992,Racing,Ubisoft,0.02,0.54,0.78,0.08,1.42
7094,Spyro 6726,XB,2003,Strategy,Ubisoft,0.65,0.05,0.61,0.11,1.42
7095,Donkey Kong 11520,SAT,2004,Simulation,Capcom,0.81,0.27,0.08,0.26,1.42
7096,Silent Hill 14942,WiiU,1984,Misc,Capcom,1.06,0.28,0.07,0.01,1.42
7097,Dead or Alive 5805,SNES,2015,Adventure,Electronic Arts,0.74,0.21,0.42,0.05,1.42
7098,Sonic the Hedgehog 5786,WiiU,2009,Role-Playing,Electronic Arts,0.99,0.19,0.22,0.02,1.42
7099,Street Fighter 11995,DS,1983,Puzzle,Microsoft Game Studios,0.17,0.73,0.43,0.09,1.42
7100,Mortal Kombat 3055,Wii,2005,Action,Bethesda,0.47,0.17,0.66,0.12,1.42
7101,Donkey Kong 11952,XB,2004,Strategy,Bandai,0.02,0.65,0.7,0.05,1.42
7102,Madden NFL 2667,N64,1999,Misc,2K Games,0.62,0.02,0.12,0.66,1.42
7103,Mega Man 6950,XOne,1997,Misc,Nintendo,0.58,0.59,0.16,0.09,1.42
7104,F-Zero 678,NES,1985,Simulation,2K Games,0.06,1.1,0.21,0.05,1.42
7105,Tekken 3544,XOne,1981,Adventure,Bandai,0.68,0.28,0.39,0.07,1.42
7106,Silent Hill 3024,Wii,1987,Simulation,2K Games,0.68,0.52,0.1,0.12,1.42
7107,F-Zero 9553,PS4,2011,Platform,Microsoft Game Studios,0.05,0.88,0.17,0.32,1.42
7108,Final Fantasy 12519,SNES,1981,Platform,Bandai,0.2,0.14,0.23,0.85,1.42
7109,Tekken 4860,Wii,1980,Misc,Bethesda,0.34,0.08,0.88,0.12,1.42
7110,Donkey Kong 12605,3DS,1985,Adventure,Activision,0.21,0.64,0.46,0.11,1.42
7111,Street Fighter 10802,GC,2008,Platform,Bandai,0.14,0.59,0.61,0.08,1.42
7112,NCAA Football 4232,WiiU,1993,Shooter,Namco Bandai,0.14,0.97,0.29,0.02,1.42
7113,Metroid 12574,XOne,2006,Shooter,Electronic Arts,0.99,0.05,0.11,0.27,1.42
7114,Tiger Woods PGA Tour 1736,PS2,2015,Shooter,505 Games,0.64,0.69,0.06,0.03,1.42
7115,NCAA Football 9453,Wii,1999,Strategy,Atari,0.44,0.53,0.39,0.06,1.42
7116,Madden NFL 2204,WiiU,2014,Role-Playing,Deep Silver,0.09,1.23,0.01,0.08,1.41
7117,Final Fantasy 14885,XB,2011,Action,THQ,0.2,0.21,0.77,0.23,1.41
7118,Kirby 10929,XB,2002,Role-Playing,Bandai,0.44,0.34,0.55,0.08,1.41
7119,Tekken 15947,X360,1990,Shooter,Bethesda,0.56,0.62,0.11,0.12,1.41
7120,Street Fighter 2475,SNES,1981,Puzzle,Ubisoft,0.73,0.48,0.11,0.09,1.41
7121,Tomb Raider 11809,PS3,2009,Simulation,Deep Silver,0.2,0.65,0.31,0.25,1.41
7122,NCAA Football 9299,WiiU,2012,Strategy,Sony Computer Entertainment,0.61,0.05,0.64,0.11,1.41
7123,Dead or Alive 3890,Wii,1990,Role-Playing,Take-Two Interactive,0.93,0.06,0.32,0.1,1.41
7124,NCAA Football 3894,XOne,2004,Misc,Ubisoft,1.01,0.0,0.05,0.35,1.41
7125,Crash Bandicoot 14050,Wii,2016,Role-Playing,Nintendo,0.2,0.85,0.33,0.03,1.41
7126,Tiger Woods PGA Tour 14472,PS2,2000,Puzzle,Microsoft Game Studios,0.52,0.11,0.17,0.61,1.41
7127,Spyro 2303,PS4,1985,Fighting,Activision,0.83,0.28,0.28,0.02,1.41
7128,Star Fox 14275,DC,1996,Puzzle,THQ,0.85,0.46,0.01,0.09,1.41
7129,Madden NFL 10989,DC,1981,Role-Playing,Bandai,0.33,0.07,0.82,0.19,1.41
7130,Pro Evolution Soccer 12393,NES,2000,Action,Namco Bandai,0.0,0.54,0.14,0.73,1.41
7131,Tomb Raider 7261,PS3,1984,Role-Playing,2K Games,0.29,0.67,0.21,0.24,1.41
7132,Street Fighter 9534,PS,1989,Fighting,Deep Silver,0.35,0.79,0.08,0.19,1.41
7133,Mortal Kombat 6085,X360,2009,Fighting,Electronic Arts,0.93,0.04,0.31,0.13,1.41
7134,Donkey Kong 8148,N64,1992,Action,Microsoft Game Studios,0.56,0.13,0.72,0.0,1.41
7135,NCAA Football 8214,GBA,1989,Puzzle,Namco Bandai,0.9,0.34,0.13,0.04,1.41
7136,Kirby 3926,GC,1982,Platform,Ubisoft,0.76,0.12,0.41,0.12,1.41
7137,Silent Hill 2785,DS,1980,Fighting,Sony Computer Entertainment,0.48,0.47,0.33,0.13,1.41
7138,Sonic the Hedgehog 9185,SAT,1989,Adventure,Konami,0.05,1.1,0.17,0.09,1.41
7139,Final Fantasy 650,GBA,1982,Shooter,LucasArts,0.53,0.07,0.62,0.19,1.41
7140,Castlevania 2009,NES,2011,Simulation,Sony Computer Entertainment,0.86,0.16,0.06,0.33,1.41
7141,Dragon Quest 5239,Wii,1996,Strategy,Square Enix,0.23,0.37,0.54,0.27,1.41
7142,Castlevania 7603,PS,2014,Fighting,Konami,0.07,0.45,0.09,0.8,1.41
7143,NCAA Football 14731,XB,1988,Misc,505 Games,1.06,0.07,0.04,0.24,1.41
7144,Crash Bandicoot 8700,3DS,2009,Adventure,Deep Silver,0.91,0.3,0.13,0.07,1.41
7145,Tiger Woods PGA Tour 14368,PS3,2007,Sports,Electronic Arts,0.45,0.15,0.39,0.42,1.41
7146,Crash Bandicoot 5351,GBA,1992,Shooter,Activision,0.13,0.52,0.06,0.7,1.41
7147,Sonic the Hedgehog 426,PS,1984,Platform,Electronic Arts,0.67,0.56,0.09,0.09,1.41
7148,Tomb Raider 11446,N64,1989,Racing,Namco Bandai,0.59,0.64,0.09,0.09,1.41
7149,NCAA Football 11915,Wii,2009,Simulation,Sony Computer Entertainment,0.18,0.77,0.14,0.32,1.41
7150,Kirby 15358,N64,2000,Sports,THQ,0.9,0.14,0.29,0.08,1.41
7151,NCAA Football 8820,PS,2007,Strategy,Konami,0.66,0.09,0.49,0.17,1.41
7152,Dragon Quest 13622,X360,1986,Sports,Sony Computer Entertainment,0.29,0.87,0.11,0.14,1.41
7153,F-Zero 5971,SAT,1984,Fighting,Electronic Arts,1.07,0.07,0.16,0.11,1.41
7154,Metroid 1899,WiiU,2000,Strategy,Microsoft Game Studios,1.31,0.02,0.04,0.04,1.41
7155,NBA 12354,PS2,2012,Puzzle,Nintendo,0.27,0.6,0.52,0.02,1.41
7156,Dead or Alive 4611,Wii,2011,Misc,Square Enix,0.43,0.91,0.04,0.03,1.41
7157,Star Fox 8454,DC,1981,Role-Playing,LucasArts,0.71,0.19,0.25,0.26,1.41
7158,Crash Bandicoot 15027,PS3,1996,Misc,Ubisoft,0.61,0.46,0.03,0.31,1.41
7159,Dragon Quest 3598,PS2,2003,Puzzle,Microsoft Game Studios,0.68,0.4,0.1,0.23,1.41
7160,Madden NFL 15394,N64,1983,Simulation,Sony Computer Entertainment,0.28,0.37,0.28,0.48,1.41
7161,Sonic the Hedgehog 3752,PS3,2008,Puzzle,THQ,0.73,0.35,0.12,0.21,1.41
7162,Silent Hill 13193,XB,2015,Fighting,Sega,1.2,0.01,0.03,0.17,1.41
7163,Spyro 11592,PS3,1989,Puzzle,505 Games,0.92,0.33,0.07,0.09,1.41
7164,Dragon Quest 7330,WiiU,2016,Puzzle,Electronic Arts,1.27,0.02,0.01,0.11,1.41
7165,Kirby 7956,DS,1997,Misc,Sony Computer Entertainment,0.12,0.8,0.24,0.25,1.41
7166,Castlevania 7373,XB,2002,Sports,Bandai,0.35,0.82,0.24,0.0,1.41
7167,Sonic the Hedgehog 9793,X360,2015,Misc,Atari,0.36,0.78,0.08,0.19,1.41
7168,Sonic the Hedgehog 13149,SNES,2004,Misc,Ubisoft,0.43,0.55,0.3,0.13,1.41
7169,Street Fighter 13166,SNES,2005,Action,THQ,0.37,0.89,0.05,0.1,1.41
7170,Donkey Kong 11189,XB,1999,Racing,2K Games,0.08,0.96,0.22,0.15,1.41
7171,Crash Bandicoot 838,NES,2007,Racing,Ubisoft,0.75,0.53,0.01,0.12,1.41
7172,Kirby 818,PS4,1997,Misc,Ubisoft,0.56,0.15,0.06,0.64,1.41
7173,Dead or Alive 4280,WiiU,2010,Shooter,Konami,0.4,0.47,0.39,0.15,1.41
7174,Dragon Quest 2271,DC,2000,Role-Playing,LucasArts,0.34,0.47,0.48,0.12,1.41
7175,Mortal Kombat 8159,GC,1993,Role-Playing,Ubisoft,0.18,0.57,0.52,0.14,1.41
7176,Tomb Raider 5093,PS,1994,Puzzle,Electronic Arts,0.12,1.05,0.02,0.22,1.41
7177,Spyro 8691,3DS,1982,Simulation,Bandai,0.38,0.19,0.64,0.2,1.41
7178,Sonic the Hedgehog 1721,DS,1982,Sports,Atari,0.71,0.58,0.12,0.0,1.41
7179,Sonic the Hedgehog 4101,DS,1987,Role-Playing,Bandai,0.24,0.05,0.66,0.46,1.41
7180,Metroid 1745,PS3,2008,Misc,Nintendo,0.52,0.48,0.28,0.12,1.4
7181,Tomb Raider 3430,PS2,2016,Platform,Bandai,0.55,0.15,0.22,0.48,1.4
